triple_id,subject,relation,target,evidence,source_url,assignee
132,Canh Khoai Lang,flavorProfile,Ngọt thanh,,,Member_1
135,Canh Khoai Lang,hasIngredient,Khoai Lang,,,Member_1
137,Canh Khoai Lang,originRegion,Việt Nam,,,Member_1
138,Canh Khoai Lang,servedWith,Cơm trắng,,,Member_1
144,Canh Khoai Môn,hasIngredient,Khoai Môn,,,Member_1
148,Canh Khoai Mỡ,cookingTechnique,Nấu Canh,,,Member_1
149,Canh Khoai Mỡ,dishType,Canh,,,Member_1
150,Canh Khoai Mỡ,flavorProfile,"Ngọt, béo",,,Member_1
153,Canh Khoai Mỡ,hasIngredient,Khoai Mỡ,,,Member_1
156,Canh Khoai Mỡ,servedWith,Cơm trắng,,,Member_1
172,Canh Khoai Sọ,hasIngredient,Khoai Sọ,,,Member_1
176,Canh Khoai Sọ Nấu Xương,cookingTechnique,Hầm,,,Member_1
177,Canh Khoai Sọ Nấu Xương,dishType,Canh,,,Member_1
178,Canh Khoai Sọ Nấu Xương,flavorProfile,"Ngọt, bùi",,,Member_1
181,Canh Khoai Sọ Nấu Xương,hasIngredient,Xương heo,,,Member_1
184,Canh Khoai Sọ Nấu Xương,originRegion,Việt Nam,,,Member_1
185,Canh Khoai Sọ Nấu Xương,servedWith,Cơm trắng,,,Member_1
186,Canh Khoai Tây Cà Rốt,cookingTechnique,Nấu,,,Member_1
187,Canh Khoai Tây Cà Rốt,dishType,Món Nước,,,Member_1
188,Canh Khoai Tây Cà Rốt,flavorProfile,Ngọt thanh,,,Member_1
191,Canh Khoai Tây Cà Rốt,hasIngredient,Cà Rốt,,,Member_1
192,Canh Khoai Tây Cà Rốt,hasIngredient,Khoai Tây,,,Member_1
194,Canh Khoai Tây Cà Rốt,originRegion,Việt Nam,,,Member_1
195,Canh Khoai Tây Cà Rốt,servedWith,Cơm trắng,,,Member_1
206,Canh Khoai Tây Nấu Xương,cookingTechnique,Hầm,,,Member_1
207,Canh Khoai Tây Nấu Xương,dishType,Canh,,,Member_1
208,Canh Khoai Tây Nấu Xương,flavorProfile,"Ngọt, bùi",,,Member_1
211,Canh Khoai Tây Nấu Xương,hasIngredient,Xương heo,,,Member_1
214,Canh Khoai Tây Nấu Xương,originRegion,Việt Nam,,,Member_1
215,Canh Khoai Tây Nấu Xương,servedWith,Cơm trắng,,,Member_1
225,Canh Khổ Qua,cookingTechnique,Luộc/Nấu,,,Member_1
226,Canh Khổ Qua,dishType,Canh,,,Member_1
227,Canh Khổ Qua,flavorProfile,"Đắng nhẹ, thanh mát",,,Member_1
230,Canh Khổ Qua,hasIngredient,Khổ Qua,,,Member_1
231,Canh Khổ Qua,originRegion,Miền Nam,,,Member_1
232,Canh Khổ Qua,servedWith,Cơm trắng,,,Member_1
233,Canh Khổ Qua Nhồi Thịt,cookingTechnique,Hầm,,,Member_1
234,Canh Khổ Qua Nhồi Thịt,dishType,Canh,,,Member_1
235,Canh Khổ Qua Nhồi Thịt,flavorProfile,"Đắng, ngọt thịt",,,Member_1
239,Canh Khổ Qua Nhồi Thịt,hasIngredient,Thịt Heo,,,Member_1
240,Canh Khổ Qua Nhồi Thịt,hasIngredient,Thịt Lợn,,,Member_1
241,Canh Khổ Qua Nhồi Thịt,hasSubRule,Quy Tắc Thay Thế Chay,,,Member_1
242,Canh Khổ Qua Nhồi Thịt,originRegion,Nam Bộ,,,Member_1
243,Canh Khổ Qua Nhồi Thịt,servedWith,Cơm trắng,,,Member_1
251,Canh Khổ Qua Nấu Tôm,cookingTechnique,Nấu,,,Member_1
252,Canh Khổ Qua Nấu Tôm,dishType,Canh,,,Member_1
253,Canh Khổ Qua Nấu Tôm,flavorProfile,"Đắng, ngọt thanh",,,Member_1
256,Canh Khổ Qua Nấu Tôm,hasIngredient,Tôm,,,Member_1
257,Canh Khổ Qua Nấu Tôm,originRegion,Việt Nam,,,Member_1
264,Canh Lòng Gà Nấu Giá Đỗ,cookingTechnique,Nấu,,,Member_1
265,Canh Lòng Gà Nấu Giá Đỗ,dishType,Canh,,,Member_1
266,Canh Lòng Gà Nấu Giá Đỗ,flavorProfile,"Thanh, ngọt",,,Member_1
268,Canh Lòng Gà Nấu Giá Đỗ,hasIngredient,"Lòng gà, Giá đỗ",,,Member_1
288,Canh Móng Giò,hasIngredient,Giò Heo,,,Member_1
298,Canh Măng,cookingTechnique,Hầm,,,Member_1
300,Canh Măng,hasIngredient,Măng,,,Member_1
304,Canh Măng Móng Giò,cookingTechnique,Hầm,,,Member_1
308,Canh Măng Sườn,cookingTechnique,Hầm,,,Member_1
309,Canh Măng Sườn,hasIngredient,Sườn heo,,,Member_1
312,Canh Măng Vịt,hasIngredient,Thịt vịt,,,Member_1
313,Canh Măng Vịt,servedWith,Nước mắm gừng,,,Member_1
314,Canh Mướp,cookingTechnique,Luộc/Nấu,,,Member_1
315,Canh Mướp,flavorProfile,Thanh mát,,,Member_1
326,Canh Mướp Nấu Hến,hasIngredient,Hến,,,Member_1
328,Canh Mướp Nấu Mọc,hasIngredient,Mọc (giò sống),,,Member_1
333,Canh Mướp Nấu Thịt Băm,dishType,Canh,,,Member_1
334,Canh Mướp Nấu Thịt Băm,flavorProfile,Ngọt thanh,,,Member_1
335,Canh Mướp Nấu Thịt Băm,hasIngredient,Thịt Lợn,,,Member_1
337,Canh Mướp Nấu Thịt Viên,hasIngredient,Thịt Lợn,,,Member_1
339,Canh Mướp Nấu Tôm,hasIngredient,Tôm,,,Member_1
340,Canh Mướp Rau Mồng Tơi,hasIngredient,Rau,,,Member_1
343,Canh Mướp Rau Ngót,hasIngredient,Rau,,,Member_1
354,Canh Mọc,dishType,Canh,,,Member_1
356,Canh Mọc,hasIngredient,Dọc Mùng,,,Member_1
360,Canh Mọc Nấu Nấm,hasIngredient,Nấm,,,Member_1
364,Canh Mọc Nấu Sườn,hasIngredient,Dọc Mùng,,,Member_1
368,Canh Mồng Tơi,dishType,Canh,,,Member_1
369,Canh Mồng Tơi,flavorProfile,"Nhớt, thanh mát",,,Member_1
370,Canh Mồng Tơi,hasIngredient,Rau Mồng Tơi,,,Member_1
387,Canh Ngao Hoa Nấu Chua,cookingTechnique,Nấu,,,Member_1
388,Canh Ngao Hoa Nấu Chua,dishType,Món canh,,,Member_1
389,Canh Ngao Hoa Nấu Chua,flavorProfile,Chua thanh,,,Member_1
390,Canh Ngao Hoa Nấu Chua,hasIngredient,Nghêu,,,Member_1
391,Canh Ngao Hoa Nấu Chua,originRegion,Việt Nam,,,Member_1
392,Canh Ngao Hoa Nấu Chua,servedWith,Cơm trắng,,,Member_1
417,Canh Ngao Nấu Cà Chua,cookingTechnique,Nấu,,,Member_1
418,Canh Ngao Nấu Cà Chua,dishType,Món canh,,,Member_1
419,Canh Ngao Nấu Cà Chua,flavorProfile,Chua nhẹ,,,Member_1
422,Canh Ngao Nấu Cà Chua,hasIngredient,"Ngao, Cà chua",,,Member_1
423,Canh Ngao Nấu Cà Chua,originRegion,Việt Nam,,,Member_1
424,Canh Ngao Nấu Cà Chua,servedWith,Cơm trắng,,,Member_1
461,Canh Nấm Cải Thảo,cookingTechnique,Nấu,,,Member_1
462,Canh Nấm Cải Thảo,dishType,Canh,,,Member_1
463,Canh Nấm Cải Thảo,flavorProfile,Ngọt thanh,,,Member_1
465,Canh Nấm Cải Thảo,hasIngredient,Cải thảo,,,Member_1
466,Canh Rau,cookingTechnique,Luộc/Nấu,,,Member_1
467,Canh Rau,dishType,Canh,,,Member_1
468,Canh Rau,flavorProfile,Thanh đạm,,,Member_1
469,Canh Rau,hasIngredient,Rau Muống,,,Member_1
470,Canh Rau,originRegion,Việt Nam,,,Member_1
471,Canh Rau Cải,dishType,Canh,,,Member_1
472,Canh Rau Cải,flavorProfile,Hơi đắng nhẹ,,,Member_1
474,Canh Rau Cải,hasIngredient,Rau cải,,,Member_1
479,Canh Rau Cải Nấu Ngao,dishType,Canh,,,Member_1
482,Canh Rau Cải Nấu Ngao,hasIngredient,Ngao,,,Member_1
483,Canh Rau Cải Nấu Sườn,cookingTechnique,Hầm/Nấu,,,Member_1
484,Canh Rau Cải Nấu Sườn,dishType,Canh,,,Member_1
485,Canh Rau Cải Nấu Sườn,flavorProfile,Ngọt đậm đà,,,Member_1
486,Canh Rau Cải Nấu Sườn,hasIngredient,Sườn Non,,,Member_1
490,Canh Rau Cải Nấu Thịt Băm,hasIngredient,Thịt Lợn,,,Member_1
491,Canh Rau Cải Nấu Trứng,dishType,Canh,,,Member_1
494,Canh Rau Cải Nấu Trứng,hasIngredient,Trứng,,,Member_1
504,Canh Rau Cải Nấu Xương,cookingTechnique,Hầm,,,Member_1
505,Canh Rau Cải Nấu Xương,dishType,Canh,,,Member_1
506,Canh Rau Cải Nấu Xương,flavorProfile,Đậm đà,,,Member_1
509,Canh Rau Cải Nấu Xương,hasIngredient,Rau Cải,,,Member_1
510,Canh Rau Cải Nấu Xương,hasIngredient,Thịt Lợn,,,Member_1
512,Canh Rau Cải Nấu Xương,originRegion,Việt Nam,,,Member_1
513,Canh Rau Cải Nấu Xương,servedWith,Cơm trắng,,,Member_1
514,Canh Rau Cải Thịt Băm,cookingTechnique,Nấu,,,Member_1
515,Canh Rau Cải Thịt Băm,dishType,Canh,,,Member_1
516,Canh Rau Cải Thịt Băm,flavorProfile,Ngọt thanh,,,Member_1
519,Canh Rau Cải Thịt Băm,hasIngredient,Rau Cải,,,Member_1
520,Canh Rau Cải Thịt Băm,hasIngredient,Thịt Lợn,,,Member_1
523,Canh Rau Cải Thịt Băm,originRegion,Việt Nam,,,Member_1
524,Canh Rau Cải Thịt Băm,servedWith,Cơm trắng,,,Member_1
546,Canh Rau Củ,cookingTechnique,Luộc/Nấu,,,Member_1
547,Canh Rau Củ,dishType,Canh,,,Member_1
548,Canh Rau Củ,flavorProfile,Thanh đạm,,,Member_1
550,Canh Rau Củ,hasIngredient,Rau,,,Member_1
552,Canh Rau Củ,originRegion,Việt Nam,,,Member_1
553,Canh Rau Củ,servedWith,Cơm trắng,,,Member_1
562,Canh Rau Củ Nấu Thịt,cookingTechnique,Nấu,,,Member_1
563,Canh Rau Củ Nấu Thịt,dishType,Canh,,,Member_1
564,Canh Rau Củ Nấu Thịt,flavorProfile,Ngọt đậm,,,Member_1
567,Canh Rau Củ Nấu Thịt,hasIngredient,Rau,,,Member_1
570,Canh Rau Củ Nấu Thịt,originRegion,Việt Nam,,,Member_1
571,Canh Rau Củ Nấu Thịt,servedWith,Cơm trắng,,,Member_1
597,Canh Rau Luộc,dishType,Món nước,,,Member_1
602,Canh Rau Muống,cookingTechnique,Luộc/Nấu,,,Member_1
603,Canh Rau Muống,dishType,Canh,,,Member_1
604,Canh Rau Muống,flavorProfile,Thanh mát,,,Member_1
606,Canh Rau Muống,hasIngredient,Rau Muống,,,Member_1
607,Canh Rau Muống,originRegion,Việt Nam,,,Member_1
608,Canh Rau Muống,servedWith,Nước Mắm,,,Member_1
609,Canh Rau Muống Nấu Cà Chua,cookingTechnique,Nấu,,,Member_1
610,Canh Rau Muống Nấu Cà Chua,dishType,Canh,,,Member_1
611,Canh Rau Muống Nấu Cà Chua,flavorProfile,Chua,,,Member_1
613,Canh Rau Muống Nấu Cà Chua,hasIngredient,Cà Chua,,,Member_1
615,Canh Rau Muống Nấu Cà Chua,originRegion,Việt Nam,,,Member_1
616,Canh Rau Muống Nấu Tôm,cookingTechnique,Nấu,,,Member_1
617,Canh Rau Muống Nấu Tôm,dishType,Canh,,,Member_1
618,Canh Rau Muống Nấu Tôm,flavorProfile,Ngọt đậm đà,,,Member_1
620,Canh Rau Muống Nấu Tôm,hasIngredient,Tôm,,,Member_1
621,Canh Rau Muống Nấu Tôm,originRegion,Việt Nam,,,Member_1
629,Canh Rau Mồng Tơi,cookingTechnique,Nấu,,,Member_1
630,Canh Rau Mồng Tơi,dishType,Canh,,,Member_1
631,Canh Rau Mồng Tơi,flavorProfile,"Nhớt, thanh mát",,,Member_1
632,Canh Rau Mồng Tơi,hasIngredient,Rau Mồng Tơi,,,Member_1
633,Canh Rau Mồng Tơi,originRegion,Việt Nam,,,Member_1
634,Canh Rau Ngót,cookingTechnique,Nấu,,,Member_1
635,Canh Rau Ngót,dishType,Canh,,,Member_1
636,Canh Rau Ngót,flavorProfile,Ngọt thanh,,,Member_1
637,Canh Rau Ngót,hasIngredient,Rau Ngót,,,Member_1
638,Canh Rau Ngót,originRegion,Việt Nam,,,Member_1
646,Canh Rau Ngót Nấu Thịt Băm,cookingTechnique,Nấu,,,Member_1
647,Canh Rau Ngót Nấu Thịt Băm,dishType,Canh,,,Member_1
648,Canh Rau Ngót Nấu Thịt Băm,flavorProfile,Ngọt đậm đà,,,Member_1
649,Canh Rau Ngót Nấu Thịt Băm,hasIngredient,Rau Ngót,,,Member_1
650,Canh Rau Ngót Nấu Thịt Băm,hasIngredient,Thịt Băm,,,Member_1
651,Canh Rau Ngót Nấu Thịt Băm,originRegion,Việt Nam,,,Member_1
661,Canh Rau Ngót Thịt Băm,cookingTechnique,Nấu,,,Member_1
662,Canh Rau Ngót Thịt Băm,dishType,Món Canh,,,Member_1
663,Canh Rau Ngót Thịt Băm,flavorProfile,Ngọt thanh,,,Member_1
666,Canh Rau Ngót Thịt Băm,hasIngredient,Thịt Băm,,,Member_1
667,Canh Rau Ngót Thịt Băm,originRegion,Việt Nam,,,Member_1
668,Canh Rau Ngót Thịt Băm,servedWith,Cơm trắng,,,Member_1
693,Canh Rau Nấu Tôm,cookingTechnique,Nấu,,,Member_1
694,Canh Rau Nấu Tôm,dishType,Canh,,,Member_1
695,Canh Rau Nấu Tôm,flavorProfile,Ngọt thanh,,,Member_1
697,Canh Rau Nấu Tôm,hasIngredient,Tôm,,,Member_1
698,Canh Rau Nấu Tôm,originRegion,Việt Nam,,,Member_1
699,Canh Rau Nấu Tôm,servedWith,Cơm trắng,,,Member_1
735,Canh Riêu Cua,dishType,Canh,,,Member_1
736,Canh Riêu Cua,flavorProfile,Thanh mát,,,Member_1
739,Canh Rong Biển,dishType,Canh,,,Member_1
740,Canh Rong Biển,flavorProfile,Thanh đạm,,,Member_1
742,Canh Rong Biển,hasIngredient,Rong biển,,,Member_1
743,Canh Rong Biển,hasIngredient,Thịt bò,,,Member_1
745,Canh Rong Biển Hoa Thiên Lý,hasIngredient,Hoa thiên lý,,,Member_1
748,Canh Rong Biển Trứng Đậu Hũ,hasIngredient,Rong biển,,,Member_1
749,Canh Rong Biển Đậu Hũ,flavorProfile,Thanh đạm,,,Member_1
751,Canh Rong Biển Đậu Hũ,hasIngredient,Rong Biển,,,Member_1
752,Canh Rong Biển Đậu Hũ,hasIngredient,Đậu Nành,,,Member_1
765,Canh Súp Lơ,cookingTechnique,Nấu,,,Member_1
766,Canh Súp Lơ,dishType,Canh,,,Member_1
768,Canh Súp Lơ,hasIngredient,Súp Lơ,,,Member_1
786,Canh Sườn Chua,dishType,Canh,,,Member_1
788,Canh Sườn Chua,flavorProfile,Chua ngọt,,,Member_1
790,Canh Sườn Chua,hasIngredient,Sườn Non,,,Member_1
791,Canh Sườn Chua,originRegion,Miền Bắc,,,Member_1
792,Canh Sườn Củ Cải,dishType,Canh,,,Member_1
793,Canh Sườn Củ Cải,flavorProfile,Ngọt thanh,,,Member_1
802,Canh Sườn Hầm Củ Quả,cookingTechnique,Hầm,,,Member_1
805,Canh Sườn Hầm Củ Quả,hasIngredient,Thịt Heo,,,Member_1
806,Canh Sườn Khoai Môn,dishType,Canh,,,Member_1
807,Canh Sườn Khoai Môn,flavorProfile,"Bùi, béo, ngọt",,,Member_1
808,Canh Sườn Khoai Môn,hasIngredient,Thịt Heo,,,Member_1
809,Canh Sườn Khoai Tây,cookingTechnique,Hầm,,,Member_1
810,Canh Sườn Khoai Tây,dishType,Canh,,,Member_1
811,Canh Sườn Khoai Tây,flavorProfile,Thanh ngọt,,,Member_1
813,Canh Sườn Khoai Tây,hasIngredient,Sườn heo,,,Member_1
815,Canh Sườn Khoai Tây,originRegion,Miền Bắc,,,Member_1
816,Canh Sườn Khoai Tây Cà Rốt,cookingTechnique,Hầm,,,Member_1
817,Canh Sườn Khoai Tây Cà Rốt,dishType,Canh,,,Member_1
818,Canh Sườn Khoai Tây Cà Rốt,flavorProfile,Ngọt thanh,,,Member_1
819,Canh Sườn Khoai Tây Cà Rốt,hasIngredient,Thịt Heo,,,Member_1
820,Canh Sườn Ngô Cà Rốt,cookingTechnique,Hầm,,,Member_1
821,Canh Sườn Ngô Cà Rốt,dishType,Canh,,,Member_1
822,Canh Sườn Ngô Cà Rốt,flavorProfile,Ngọt đậm đà,,,Member_1
824,Canh Sườn Ngô Cà Rốt,hasIngredient,Thịt Heo,,,Member_1
829,Canh Sườn Nấu Bí,hasIngredient,Thịt Lợn,,,Member_1
833,Canh Sườn Nấu Củ Quả,hasIngredient,Sườn Non,,,Member_1
834,Canh Sườn Nấu Mọc,cookingTechnique,Nấu,,,Member_1
835,Canh Sườn Nấu Mọc,dishType,Canh,,,Member_1
838,Canh Sườn Nấu Rau Củ,cookingTechnique,Hầm,,,Member_1
839,Canh Sườn Nấu Rau Củ,dishType,Canh,,,Member_1
841,Canh Sườn Nấu Sấu,cookingTechnique,Nấu,,,Member_1
842,Canh Sườn Nấu Sấu,dishType,Canh,,,Member_1
843,Canh Sườn Nấu Sấu,flavorProfile,Chua,,,Member_1
845,Canh Sườn Nấu Sấu,hasIngredient,Quả Sấu,,,Member_1
846,Canh Sườn Nấu Sấu,hasIngredient,Sườn,,,Member_1
847,Canh Sườn Nấu Sấu,originRegion,Miền Bắc,,,Member_1
848,Canh Sườn Rau Củ,cookingTechnique,Hầm,,,Member_1
849,Canh Sườn Rau Củ,dishType,Canh,,,Member_1
850,Canh Sườn Rau Củ,hasIngredient,Sườn heo,,,Member_1
899,Canh Trứng Cà Chua,cookingTechnique,Nấu,,,Member_1
900,Canh Trứng Cà Chua,dishType,Canh,,,Member_1
910,Canh Tôm,cookingTechnique,Nấu,,,Member_1
911,Canh Tôm,dishType,Canh,,,Member_1
913,Canh Tôm,hasIngredient,Tôm,,,Member_1
921,Canh Xương,cookingTechnique,Hầm,,,Member_1
922,Canh Xương,dishType,Canh,,,Member_1
927,Canh Xương Hầm Củ Quả,dishType,Canh,,,Member_1
928,Canh Xương Hầm Rau Củ,cookingTechnique,Hầm,,,Member_1
929,Canh Xương Hầm Rau Củ,dishType,Canh,,,Member_1
938,Canh Xương Khoai Tây,cookingTechnique,Hầm,,,Member_1
939,Canh Xương Khoai Tây,dishType,Canh,,,Member_1
940,Canh Xương Khoai Tây,flavorProfile,"Ngọt, béo",,,Member_1
942,Canh Xương Khoai Tây,hasIngredient,Khoai tây,,,Member_1
943,Canh Xương Khoai Tây,originRegion,Việt Nam,,,Member_1
953,Canh Đậu Hũ Cà Chua,cookingTechnique,Nấu,,,Member_1
954,Canh Đậu Hũ Cà Chua,dishType,Món Nước,,,Member_1
955,Canh Đậu Hũ Cà Chua,flavorProfile,Chua,,,Member_1
958,Canh Đậu Hũ Cà Chua,hasIngredient,Cà Chua,,,Member_1
964,Canh Ốc Chuối Đậu,cookingTechnique,Om,,,Member_1
965,Canh Ốc Chuối Đậu,dishType,Canh,,,Member_1
967,Canh Ốc Chuối Đậu,hasIngredient,Ốc bươu,,,Member_1
968,Canh Ốc Chuối Đậu,originRegion,Miền Bắc,,,Member_1
969,Cao Lầu,cookingTechnique,Trộn,,,Member_1
970,Cao Lầu,dishType,Mì,,,Member_1
971,Cao Lầu,flavorProfile,"Đậm đà, mặn ngọt",,,Member_1
972,Cao Lầu,hasIngredient,Thịt Xíu,,,Member_1
973,Cao Lầu,hasIngredient,Tôm,,,Member_1
974,Cao Lầu,originRegion,Quảng Nam,,,Member_1
975,Cao Lầu,servedWith,Rau sống,,,Member_1
983,Chim Bồ Câu Hầm Ngải Cứu,cookingTechnique,Hầm,,,Member_1
984,Chim Bồ Câu Hầm Ngải Cứu,dishType,Món hầm,,,Member_1
986,Chim Bồ Câu Hầm Ngải Cứu,hasIngredient,Lá ngải cứu,,,Member_1
1000,Chim Cút,ingredientCategory,Thịt,,,Member_1
1003,Chim Cút Quay,hasIngredient,Chim Cút,,,Member_1
1005,Chim Cút Rôti,cookingTechnique,Quay,,,Member_1
1008,Chim Cút Rôti,hasIngredient,Chim Cút,,,Member_1
1015,Chim Quay,cookingTechnique,Quay,,,Member_1
1036,Cháo,cookingTechnique,Ninh,,,Member_1
1037,Cháo,dishType,Món nước,,,Member_1
1038,Cháo,flavorProfile,Thanh đạm,,,Member_1
1041,Cháo,hasIngredient,Gạo,,,Member_1
1043,Cháo,originRegion,Việt Nam,,,Member_1
1044,Cháo,servedWith,Dầu cháo quẩy,,,Member_1
1055,Cháo Gà,hasIngredient,Thịt Gà,,,Member_1
1057,Cháo Hải Sản,dishType,Món chính,,,Member_1
1059,Cháo Hải Sản,hasIngredient,Thủy Hải Sản,,,Member_1
1067,Cháo Sườn,dishType,Món ăn vặt,,,Member_1
1068,Cháo Sườn,hasIngredient,Thịt Lợn,,,Member_1
1069,Cháo Sườn,servedWith,Quẩy,,,Member_1
1074,Cháo Trai,dishType,Món ăn vặt,,,Member_1
1075,Cháo Trai,hasIngredient,Trai,,,Member_1
1076,Cháo Trai,servedWith,Rau răm,,,Member_1
1077,Cháo Trắng,cookingTechnique,Ninh,,,Member_1
1078,Cháo Trắng,dishType,Món chính,,,Member_1
1079,Cháo Trắng,flavorProfile,Thanh đạm,,,Member_1
1081,Cháo Trắng,hasIngredient,Gạo,,,Member_1
1083,Cháo Trắng,originRegion,Việt Nam,,,Member_1
1084,Cháo Trắng,servedWith,Dầu Cháo Quẩy,,,Member_1
1106,Chân Giò Bó Luộc,cookingTechnique,Luộc,,,Member_1
1107,Chân Giò Bó Luộc,dishType,Món nguội,,,Member_1
1108,Chân Giò Bó Luộc,flavorProfile,"Béo, giòn",,,Member_1
1110,Chân Giò Bó Luộc,hasIngredient,Thịt Lợn,,,Member_1
1111,Chân Giò Bó Luộc,originRegion,Việt Nam,,,Member_1
1112,Chân Giò Bó Luộc,servedWith,Nước mắm tỏi ớt,,,Member_1
1113,Chân Giò Giả Cầy,cookingTechnique,Ninh,,,Member_1
1114,Chân Giò Giả Cầy,dishType,Món kho/om,,,Member_1
1115,Chân Giò Giả Cầy,flavorProfile,"Chua, cay, nồng",,,Member_1
1117,Chân Giò Giả Cầy,hasIngredient,Chân Giò Lợn,,,Member_1
1118,Chân Giò Giả Cầy,hasIngredient,Mắm Tôm,,,Member_1
1119,Chân Giò Giả Cầy,originRegion,Miền Bắc,,,Member_1
1120,Chân Giò Giả Cầy,servedWith,Bún,,,Member_1
1145,Chân Giò Lợn,ingredientCategory,Thịt,,,Member_1
1164,Chân Gà Luộc,cookingTechnique,Luộc,,,Member_1
1165,Chân Gà Luộc,dishType,Món khai vị,,,Member_1
1166,Chân Gà Luộc,flavorProfile,Ngọt tự nhiên,,,Member_1
1167,Chân Gà Luộc,hasIngredient,Chân gà,,,Member_1
1168,Chân Gà Luộc,servedWith,Muối tiêu chanh,,,Member_1
1177,Chân Gà Sả Tắc,cookingTechnique,Ngâm,,,Member_1
1178,Chân Gà Sả Tắc,dishType,Món ăn vặt,,,Member_1
1179,Chân Gà Sả Tắc,flavorProfile,Chua ngọt,,,Member_1
1189,Chè Bánh Lọt,cookingTechnique,Luộc,,,Member_1
1190,Chè Bánh Lọt,dishType,Tráng miệng,,,Member_1
1191,Chè Bánh Lọt,flavorProfile,Ngọt béo,,,Member_1
1192,Chè Bánh Lọt,hasIngredient,Bột Gạo,,,Member_1
1193,Chè Bánh Lọt,hasIngredient,Bột Năng,,,Member_1
1194,Chè Bánh Lọt,originRegion,Nam Bộ,,,Member_1
1195,Chè Bánh Lọt,servedWith,Nước cốt dừa,,,Member_1
1196,Chè Bưởi,cookingTechnique,Nấu,,,Member_1
1197,Chè Bưởi,dishType,Tráng miệng,,,Member_1
1198,Chè Bưởi,flavorProfile,Ngọt thanh,,,Member_1
1200,Chè Bưởi,hasIngredient,Đậu Xanh,,,Member_1
1201,Chè Bưởi,originRegion,Tây Nam Bộ,,,Member_1
1202,Chè Bưởi,servedWith,Nước cốt dừa,,,Member_1
1222,Chè Hạt Sen,cookingTechnique,Ninh,,,Member_1
1223,Chè Hạt Sen,dishType,Món Nước,,,Member_1
1225,Chè Hạt Sen,hasIngredient,Hạt Sen,,,Member_1
1226,Chè Hạt Sen,originRegion,Miền Trung,,,Member_1
1256,Chè Sương Sa Hạt Lựu,cookingTechnique,Luộc,,,Member_1
